Comet ID,Club ID,Grade,Math,English/Reading,Conduct
1852058,SOM0023233,6,A,B,C
1845595,SOM0023234,7,A,A,B
1850882,SOM0023235,6,A,B,C
1852556,SOM0023236,6,B,D,C
1852553,SOM0023237,,C,C,B
1839248,SOM0023238,7,C,D,A
1854274,SOM0023239,8,A,C,B
1841014,SOM0023240,8,D,C,C
1843009,SOM0023241,8,B,B,B
1838906,SOM0023242,8,D,A,C
1840633,SOM0023243,7,C,C,C
1839350,SOM0023244,6,B,B,B
1852555,SOM0023245,7,B,B,B
1841100,SOM0023246,8,C,C,B
1852045,SOM0023247,7,A,B,A
1838461,SOM0023248,8,A,A,A
1837825,SOM0023249,8,A,B,B
1849064,SOM0023250,8,B,B,B
1837322,SOM0023251,8,C,A,B
1852047,SOM0023252,6,C,C,C
1853141,SOM0023253,7,C,C,A
1837543,SOM0023254,8,B,A,B
1826919,SOM0023255,6,B,C,C
1845239,SOM0023256,7,B,C,A
1840424,SOM0023257,8,B,A,B
1844852,SOM0023258,7,C,B,C
1837301,SOM0023259,8,C,A,A
1822200,SOM0023260,7,B,F,C
1852591,SOM0023261,6,B,B,C
1845296,SOM0023262,8,C,C,C
1837317,SOM0023263,8,A,A,A
