HostSiteName,UID,Grade,ACE Days Attended,SchoolDaysEnrolled,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade
Westwood Elementary,1840455,Kindergarten,112,94,4,0,0,90,Fail,Fail,Pass,Pass
Westwood Elementary,1831885,4th,134,94,5,0,0,89,C,C,C,B
Westwood Elementary,1839015,4th,3,94,20,0,0,74,D,C,D,C
Westwood Elementary,1827208,2nd,15,94,2,0,0,92,F,C,D,B
Westwood Elementary,1841023,5th,6,94,1,0,0,93,A,A,A,A
Westwood Elementary,1827214,2nd,133,94,5,0,0,89,D,D,C,B
Westwood Elementary,1826899,4th,22,94,17,0,0,77,D,F,C,C
Westwood Elementary,1840895,5th,5,94,10,0,0,84,B,F,F,C
Westwood Elementary,1840372,Kindergarten,110,94,20,0,0,74,Pass,Pass,Pass,Pass
Westwood Elementary,1827339,4th,128,94,10,0,0,84,C,B,B,B
Westwood Elementary,1836317,1st,126,94,11,0,0,83,F,F,F,F
Westwood Elementary,1840457,Kindergarten,111,94,8,0,0,86,Fail,Fail,Fail,Fail
Westwood Elementary,1840519,Kindergarten,109,94,7,0,0,87,Pass,Fail,Pass,Pass
Westwood Elementary,1840654,1st,103,94,14,0,0,80,F,C,F,D
Westwood Elementary,1840458,1st,7,94,2,0,0,92,D,B,B,A
Westwood Elementary,1831888,5th,13,94,2,0,0,92,C,F,F,B
Westwood Elementary,1840888,4th,9,94,1,0,0,93,C,C,C,B
Westwood Elementary,1840901,5th,5,94,2,0,0,92,B,D,D,B
Westwood Elementary,1831079,5th,13,94,5,0,0,89,B,F,F,B
Westwood Elementary,1826904,4th,4,94,3,0,0,91,B,B,B,B
Westwood Elementary,1840875,1st,5,94,18,0,0,76,F,D,D,C
Westwood Elementary,1827037,3rd,138,94,1,0,0,93,B,B,B,B
Westwood Elementary,1827213,2nd,137,94,4,0,0,90,C,F,B,D
Westwood Elementary,1840653,Kindergarten,99,94,13,0,0,81,Pass,Pass,Pass,Pass
Westwood Elementary,1827057,4th,14,94,6,0,0,88,A,C,B,A
Westwood Elementary,1837277,5th,10,94,0,0,0,94,B,D,B,B
Westwood Elementary,1837550,5th,52,94,6,0,0,88,A,B,A,A
Westwood Elementary,1840633,5th,10,94,6,0,0,88,B,C,B,B
Westwood Elementary,1839350,4th,16,94,11,0,0,83,C,D,C,B
Westwood Elementary,1827100,5th,121,94,11,0,0,83,A,B,A,A
Westwood Elementary,1840635,2nd,13,94,3,0,0,91,F,D,F,F
