Comet ID,Club ID,Grade,Math,English Reading,Conduct
1854598,TWH002301,1st,A,A,S
1826519,TWH002302,3rd,N/A,N/A,N/A
1853514,TWH002303,Kindergarten,N/A,N/A,N/A
1851948,TWH002304,Kindergarten,N/A,N/A,N/A
1844559,TWH002305,Kindergarten,N/A,N/A,N/A
1851478,TWH002306,Kindergarten,N/A,N/A,N/A
1852029,TWH002307,Kindergarten,N/A,N/A,N/A
1852991,TWH002308,Kindergarten,N/A,N/A,N/A
1855093,TWH002309,Kindergarten,N/A,N/A,N/A
1841509,TWH0023010,1st,A,B,E
1844919,TWH0023011,1st,B,A,E
1845072,TWH0023012,1st,B,B,N
1847589,TWH0023013,1st,B,F,E
1844917,TWH0023014,1st,A,A,S
1852561,TWH0023015,1st,D,D,S
1853700,TWH0023016,1st,B,B,E
1846196,TWH0023017,1st,C,D,S
1853139,TWH0023018,1st,A,B,S
1845144,TWH0023019,1st,B,B,E
1845129,TWH0023020,1st,C,B,S
1844916,TWH0023021,1st,A,B,S
1851976,TWH0023022,1st,N/A,N/A,N/A
1854087,TWH0023023,1st,N/A,N/A,N/A
1851978,TWH0023024,1st,D,D,S
1851181,TWH0023025,1st,N/A,N/A,N/A
1850280,TWH0023026,1st,B,A,S
1844922,TWH0023027,1st,C,B,S
1852326,TWH0023028,1st,A,A,S
1846393,TWH0023029,1st,N/A,N/A,N/A
1851956,TWH0023030,1st,B,C,E
1847936,TWH0023031,1st,C,C,S
1850922,TWH0023032,1st,A,B,S
1851944,TWH0023035,1st,B,A,E
1853821,TWH0023036,1st,N/A,N/A,N/A
1845611,TWH0023037,2nd,A,A,E
1844924,TWH0023038,2nd,B,B,E
1851943,TWH0023039,2nd,C,C,S
1841622,TWH0023040,2nd,F,C,S
1852329,TWH0023041,2nd,B,B,S
1852129,TWH0023042,2nd,A,A,S
1843415,TWH0023043,2nd,C,C,S
1854042,TWH0023044,2nd,B ,C,S
1841196,TWH0023045,2nd,C,B,E
1842701,TWH0023046,2nd,C,C ,S
1845528,TWH0023047,2nd,B,D,S
1855344,TWH0023048,2nd,B,B,S
1854079,TWH0023049,2nd,F,F,E
1854882,TWH0023050,2nd,D,D,S
1851945,TWH0023051,2nd,D,D,S
1841751,TWH0023052,2nd,D,D,S
1854086,TWH0023053,2nd,D,D,S
1851942,TWH0023054,2nd,B,A,E
1853135,TWH0023055,2nd,N/A,N/A,N/A
1852537,TWH0023056,2nd,F,F,N
1849936,TWH0023057,2nd,B,C,N
1855338,TWH0023058,2nd,F,F,S
1851949,TWH0023059,2nd,N/A,N/A,N/A
1851946,TWH0023060,2nd,N/A,N/A,N/A
1845098,TWH0023061,2nd,A,B,N
1844829,TWH0023062,2nd,B,C,S
1840280,TWH0023063,2nd,F,C,E
1844920,TWH0023064,2nd,B,B,E
1847135,TWH0023065,2nd,B,D,E
1845659,TWH0023066,2nd,B,B,S
1845040,TWH0023067,2nd,A,A,E
1841486,TWH0023068,2nd,D,F,S
1846193,TWH0023069,3rd,C,D,S
1840279,TWH0023070,3rd,C,D,S
1845469,TWH0023071,3rd,D,C,S
1840420,TWH0023072,3rd,C,D,S
1852328,TWH0023073,3rd,F,D,S
1852442,TWH0023074,3rd,D,D,S
1850025,TWH0023075,3rd,B,C,S
1836870,TWH0023076,3rd,B,B,E
1838462,TWH0023077,3rd,D,D,S
1845143,TWH0023078,3rd,B,B,E
1845399,TWH0023079,3rd,B,B,S
1851969,TWH0023080,3rd,N/A,N/A,N/A
1841111,TWH0023081,3rd,D,C,S
1837008,TWH0023082,3rd,D,F,S
1847834,TWH0023083,3rd,D,C,S
1852445,TWH0023084,3rd,D,D,S
1844914,TWH0023085,3rd,C,C,S
1841752,TWH0023086,3rd,B,F,E
1847660,TWH0023087,3rd,B ,C,S
1837110,TWH0023088,3rd,C,C,S
1848027,TWH0023089,3rd,D,B,S
