Comet ID,Club ID,Grade,Math,English/Reading,Conduct,ACE Days Attended
1840800,SOM0023156,8,A,A,A,146
1838631,SOM0023157,8,A,A,A,146
1839026,SOM0023158,8,B,B,A,137
1826960,SOM0023159,8,C,C,C,138
1835117,SOM0023160,7,D,C,C,154
1852519,SOM0023161,6,A,C,B,135
1838598,SOM0023162,8,A,B,B,140
1852044,SOM0023163,6,B,C,C,136
1838560,SOM0023164,8,B,B,C,142
1841135,SOM0023165,8,B,A,A,155
1839029,SOM0023166,8,A,B,B,144
1840718,SOM0023167,8,A,A,C,144
1840690,SOM0023168,8,A,B,B,144
1840476,SOM0023169,8,B,C,A,144
1837273,SOM0023170,7,C,D,A,144
1838627,SOM0023171,8,A,A,A,144
1841193,SOM0023172,8,A,A,A,130
1827018,SOM0023173,8,B,B,B,130
1837483,SOM0023174,8,C,C,C,130
1848023,SOM0023175,8,B,B,B,130
1853128,SOM0023176,7,B,B,B,130
1837420,SOM0023177,8,A,C,B,147
1841034,SOM0023178,8,B,B,A,148
1854271,SOM0023179,8,B,B,A,143
1845579,SOM0023180,7,A,B,B,142
1852592,SOM0023181,7,B,C,B,154
1852508,SOM0023182,6,A,A,A,137
1849079,SOM0023183,8,B,A,C,155
1840325,SOM0023184,8,B,B,B,146
1837546,SOM0023185,7,A,A,A,155
1840421,SOM0023186,8,B,B,B,147
1837134,SOM0023187,6,C,B,A,129
1838905,SOM0023188,8,B,B,B,153
1840609,SOM0023189,8,B,B,B,153
1822931,SOM0023190,7,B,C,A,153
1840606,SOM0023191,8,B,B,B,153
1840587,SOM0023192,8,C,C,B,153
1844850,SOM0023193,7,A,B,B,146
1852341,SOM0023194,6,C,C,B,146
1838910,SOM0023195,7,A,B,C,146
1844136,SOM0023196,8,B,B,B,146
1844183,SOM0023197,8,B,B,B,146
1837303,SOM0023198,8,C,B,A,146
1852523,SOM0023199,6,B,B,B,146
1839351,SOM0023200,6,C,C,C,130
1840591,SOM0023201,8,B,A,C,130
1831794,SOM0023202,7,B,B,B,130
1826225,SOM0023203,8,C,C,C,130
1826228,SOM0023204,8,C,C,C,135
1845575,SOM0023205,7,B,B,B,138
1845297,SOM0023206,8,B,C,C,147
1845525,SOM0023207,7,C,A,B,138
1837566,SOM0023208,8,C,C,C,136
1837776,SOM0023209,8,A,A,A,150
1826954,SOM0023210,8,A,A,A,148
1826954,SOM0023211,6,B,C,B,147
1841023,SOM0023212,7,B,B,B,152
1854270,SOM0023213,6,A,B,B,154
1841497,SOM0023214,8,A,B,A,134
1827003,SOM0023215,6,B,A,B,136
1849063,SOM0023216,8,C,C,B,148
1854276,SOM0023217,8,A,C,A,155
1852513,SOM0023218,6,B,B,B,150
1827531,SOM0023219,6,A,A,A,147
1843007,SOM0023220,8,A,A,A,143
1845586,SOM0023221,7,C,C,C,142
1827533,SOM0023222,7,B,C,C,146
114426,SOM0023223,8,B,C,C,149
1845412,SOM0023224,7,A,A,A,140
1845549,SOM0023225,7,A,A,A,129
1840608,SOM0023226,8,A,A,A,128
1839285,SOM0023227,8,B,A,B,134
1838554,SOM0023228,8,B,B,B,145
1845411,SOM0023229,8,B,B,B,155
1840799,SOM0023230,8,A,A,A,142
1844863,SOM0023231,7,B,B,B,137
1826904,SOM0023232,6,B,C,C,130
1852058,SOM0023233,6,A,B,C,130
1845595,SOM0023234,7,A,A,B,130
1850882,SOM0023235,6,A,B,C,130
1852556,SOM0023236,6,B,D,C,129
1852553,SOM0023237,7,C,C,B,155
1839248,SOM0023238,7,C,D,A,131
1854274,SOM0023239,8,A,C,B,134
1841014,SOM0023240,8,D,C,C,129
1843009,SOM0023241,8,B,B,B,150
1838906,SOM0023242,8,D,A,C,144
1840633,SOM0023243,7,C,C,C,139
1839350,SOM0023244,6,B,B,B,151
1852555,SOM0023245,7,B,B,B,132
1841100,SOM0023246,8,C,C,B,147
1852045,SOM0023247,7,A,B,A,135
1838461,SOM0023248,8,A,A,A,138
1837825,SOM0023249,8,A,B,B,138
1849064,SOM0023250,8,B,B,B,142
1837322,SOM0023251,8,C,A,B,147
1852047,SOM0023252,6,B,C,C,155
1853141,SOM0023253,7,C,C,A,130
1837543,SOM0023254,8,B,A,B,130
1826919,SOM0023255,6,B,C,C,130
1845239,SOM0023256,7,B,C,A,144
1840424,SOM0023257,8,B,A,B,144
1844852,SOM0023258,7,C,B,C,153
1837301,SOM0023259,8,C,A,A,153
1822200,SOM0023260,7,B,C,C,153
1852591,SOM0023261,6,B,B,C,146
1845296,SOM0023262,8,C,C,C,146
1837317,SOM0023263,8,A,A,A,146
